question,answer,options,correct_options,question_type,additional_data,metadata
"If the first term of an A.P. is 3 and the sum of its first four terms is equal to one-fifth of the sum of the next four terms, then the sum of the first 20 terms is equal to",-1080,['-1080' '-1020' '-1200' '-120'],[0],1,{},{}
"One die has two faces marked 1, two faces marked 2, one face marked 3 and one face marked 4. Another die has one face marked 1, two faces marked 2, two faces marked 3 and one face marked 4. The probability of getting the sum of numbers to be 4 or 5, when both the dice are thrown together, is",\(\frac{1}{2}\),"['\\(\\frac{2}{3}\\)' '\\(\\frac{1}{2}\\)' '\\(\\frac{4}{9}\\)'
 '\\(\\frac{3}{5}\\)']",[1],1,{},{}
"Let the position vectors of the vertices \(A\), \(B\) and \(C\) of a tetrahedron \(ABCD\) be \(\hat{\mathbf{i}} + 2 \hat{\mathbf{j}} + \hat{\mathbf{k}}\), \(\hat{\mathbf{i}} + 3 \hat{\mathbf{j}} - 2 \hat{\mathbf{k}}\) and \(2 \hat{\mathbf{i}} + \hat{\mathbf{j}} - \hat{\mathbf{k}}\) respectively. The altitude from the vertex \(D\) to the opposite face \(ABC\) meets the median line segment through \(A\) of the triangle \(ABC\) at the point \(E\). If the length of \(AD\) is \(\frac{\sqrt{110}}{3}\) and the volume of the tetrahedron is \(\frac{\sqrt{805}}{6 \sqrt{2}}\), then the position vector of \(E\) is",\(\frac{1}{6}(7 \hat{\mathbf{i}} + 12 \hat{\mathbf{j}} + \hat{\mathbf{k}})\),"['\\(\\frac{1}{12}(7 \\hat{\\mathbf{i}} + 4 \\hat{\\mathbf{j}} + 3 \\hat{\\mathbf{k}})\\)'
 '\\(\\frac{1}{2}(\\hat{\\mathbf{i}} + 4 \\hat{\\mathbf{j}} + 7 \\hat{\\mathbf{k}})\\)'
 '\\(\\frac{1}{6}(12 \\hat{\\mathbf{i}} + 12 \\hat{\\mathbf{j}} + \\hat{\\mathbf{k}})\\)'
 '\\(\\frac{1}{6}(7 \\hat{\\mathbf{i}} + 12 \\hat{\\mathbf{j}} + \\hat{\\mathbf{k}})\\)']",[3],1,{},{}
"If \(\mathbf{A}\), \(\mathbf{B}\), and \(\left(\operatorname{adj}\left(\mathbf{A}^{-1}\right) + \operatorname{adj}\left(\mathbf{B}^{-1}\right)\right)\) are non-singular matrices of same order, then the inverse of \(\mathbf{A} \left(\operatorname{adj}\left(\mathbf{A}^{-1}\right) + \operatorname{adj}\left(\mathbf{B}^{-1}\right)\right)^{-1} \mathbf{B}\), is equal to",\(\frac{1}{|\mathbf{A} \mathbf{B}|} (\operatorname{adj}(\mathbf{B}) + \operatorname{adj}(\mathbf{A}))\),"['\\(\\mathbf{A} \\mathbf{B}^{-1} + \\mathbf{A}^{-1} \\mathbf{B}\\)'
 '\\(\\operatorname{adj}\\left(\\mathbf{B}^{-1}\\right) + \\operatorname{adj}\\left(\\mathbf{A}^{-1}\\right)\\)'
 '\\(\\frac{\\mathbf{A} \\mathbf{B}^{-1}}{|\\mathbf{A}|} + \\frac{\\mathbf{B} \\mathbf{A}^{-1}}{|\\mathbf{B}|}\\)'
 '\\(\\frac{1}{|\\mathbf{A} \\mathbf{B}|} (\\operatorname{adj}(\\mathbf{B}) + \\operatorname{adj}(\\mathbf{A}))\\)']",[3],1,{},{}
"Marks obtained by all the students of class 12 are presented in a frequency distribution with classes of equal width. Let the median of this grouped data be 14 with median class interval 12-18 and median class frequency 12. If the number of students whose marks are less than 12 is 18, then the total number of students is",44,['52' '48' '44' '40'],[2],1,{},{}
"Let a curve \(y = f(x)\) pass through the points \((0, 5)\) and \((\log_e 2, k)\). If the curve satisfies the differential equation \(2(3 + y) e^{2x} dx - (7 + e^{2x}) dy = 0\), then \(k\) is equal to",8,['4' '32' '8' '16'],[2],1,{},{}
"If the function \(f(x) = \begin{cases} \frac{2}{x} \left\{ \sin (k_1 + 1) x + \sin (k_2 - 1) x \right\}, & x < 0 \\ 4, & x = 0 \\ \frac{2}{x} \log_e \left( \frac{2 + k_1 x}{2 + k_2 x} \right), & x > 0 \end{cases}\) is continuous at \(x = 0\), then \(k_1^2 + k_2^2\) is",10,['2' '5' '8' '10'],[3],1,{},{}
"If the line \(3x - 2y + 12 = 0\) intersects the parabola \(4y = 3x^2\) at the points \(A\) and \(B\), then at the vertex of the parabola, the line segment \(AB\) subtends an angle equal to",\(\tan^{-1} \left( \frac{9}{7} \right)\),"['\\(\\tan^{-1} \\left( \\frac{4}{5} \\right)\\)'
 '\\(\\tan^{-1} \\left( \\frac{9}{7} \\right)\\)'
 '\\(\\tan^{-1} \\left( \\frac{11}{9} \\right)\\)'
 '\\(\\frac{\\pi}{2} - \\tan^{-1} \\left( \\frac{3}{2} \\right)\\)']",[1],1,{},{}
"Let \(P\) be the foot of the perpendicular from the point \(Q(10, -3, -1)\) on the line \(\frac{x - 3}{7} = \frac{y - 2}{-1} = \frac{z + 2}{-2}\). Then the area of the right-angled triangle \(PQR\), where \(R\) is the point \((3, -2, 1)\), is",\(3 \sqrt{30}\),"['\\(9 \\sqrt{15}\\)' '\\(\\sqrt{30}\\)' '\\(8 \\sqrt{15}\\)'
 '\\(3 \\sqrt{30}\\)']",[3],1,{},{}
"Let the arc \(AC\) of a circle subtend a right angle at the centre \(O\). If the point \(B\) on the arc \(AC\), divides the arc \(AC\) such that \(\frac{\text{length of arc } AB}{\text{length of arc } BC} = \frac{1}{5}\), and \(\overrightarrow{OC} = \alpha \overrightarrow{OA} + \beta \overrightarrow{OB}\), then \(\alpha + \sqrt{2}(\sqrt{3} - 1) \beta\) is equal to",\(2 - \sqrt{3}\),"['\\(2 \\sqrt{3}\\)' '\\(2 - \\sqrt{3}\\)' '\\(5 \\sqrt{3}\\)'
 '\\(2 + \\sqrt{3}\\)']",[1],1,{},{}
Let \(f(x) = \log_e x\) and \(g(x) = \frac{x^4 - 2x^3 + 3x^2 - 2x + 2}{2x^2 - 2x + 1}\). Then the domain of \(f \circ g\) is,\(\mathbf{R}\),"['\\([0, \\infty)\\)' '\\([1, \\infty)\\)' '\\((0, \\infty)\\)'
 '\\(\\mathbf{R}\\)']",[3],1,{},{}
"If the system of equations \((\lambda - 1)x + (\lambda - 4)y + \lambda z = 5\), \(\lambda x + (\lambda - 1)y + (\lambda - 4)z = 7\), \((\lambda + 1)x + (\lambda + 2)y - (\lambda + 2)z = 9\) has infinitely many solutions, then \(\lambda^2 + \lambda\) is equal to",12,['6' '10' '20' '12'],[3],1,{},{}
"The number of words, which can be formed using all the letters of the word ""DAUGHTER"", so that all the vowels never come together, is",36000,['36000' '37000' '34000' '35000'],[0],1,{},{}
"Let \(\mathbf{R} = \{(1, 2), (2, 3), (3, 3)\}\) be a relation defined on the set \(\{1, 2, 3, 4\}\). Then the minimum number of elements, needed to be added in \(\mathbf{R}\) so that \(\mathbf{R}\) becomes an equivalence relation, is",7,['10' '7' '8' '9'],[1],1,{},{}
"Let the area of a \(\triangle PQR\) with vertices \(P(5, 4)\), \(Q(-2, 4)\) and \(R(a, b)\) be 35 square units. If its orthocenter and centroid are \(O\left(2, \frac{14}{5}\right)\) and \(C(c, d)\) respectively, then \(c + 2d\) is equal to",3,['\\(\\frac{8}{3}\\)' '\\(\\frac{7}{3}\\)' '2' '3'],[3],1,{},{}
